sbp,dbp,cp,sut,dt,dt10,st10_p_dt10,st10_d_dt10,dt25,st25_p_dt25,st25_d_dt25,dt33,st33_p_dt33,st33_d_dt33,dt50,st50_p_dt50,st50_d_dt50,dt66,st66_p_dt66,st66_d_dt66,dt75,st75_p_dt75,st75_d_dt75
125.1874,69.11441,0.488,0.128,0.36,0.28,0.376,2.916667,0.192,0.28,2.181818,0.152,0.232,1.9,0.112,0.184,1.555556,0.088,0.144,1.571429,0.08,0.128,1.666667
125.1874,68.08868,0.48,0.128,0.352,0.288,0.392,2.769231,0.192,0.28,2.181818,0.152,0.232,1.9,0.112,0.184,1.555556,0.088,0.152,1.375,0.072,0.128,1.285714
122.5499,68.82134,0.472,0.128,0.352,0.264,0.36,2.75,0.168,0.248,2.1,0.144,0.224,1.8,0.112,0.176,1.75,0.088,0.144,1.571429,0.072,0.12,1.5
122.2568,68.72365,0.48,0.12,0.36,0.272,0.36,3.090909,0.176,0.256,2.2,0.144,0.216,2,0.104,0.16,1.857143,0.08,0.128,1.666667,0.072,0.112,1.8
124.1129,69.35863,0.488,0.12,0.36,0.28,0.376,2.916667,0.184,0.264,2.3,0.152,0.224,2.111111,0.112,0.176,1.75,0.088,0.136,1.833333,0.08,0.12,2
132.4164,69.74938,0.52,0.128,0.4,0.32,0.416,3.333333,0.216,0.296,2.7,0.16,0.24,2,0.12,0.184,1.875,0.096,0.152,1.714286,0.08,0.128,1.666667
133.6375,69.26094,0.52,0.12,0.392,0.312,0.408,3.25,0.208,0.288,2.6,0.16,0.232,2.222222,0.12,0.184,1.875,0.096,0.152,1.714286,0.08,0.128,1.666667
132.3187,68.62597,0.52,0.128,0.392,0.32,0.416,3.333333,0.2,0.28,2.5,0.16,0.24,2,0.12,0.184,1.875,0.096,0.152,1.714286,0.08,0.128,1.666667
130.2184,67.40486,0.504,0.128,0.384,0.304,0.4,3.166667,0.168,0.248,2.1,0.144,0.216,2,0.112,0.176,1.75,0.088,0.144,1.571429,0.072,0.12,1.5
80.5439,80.4462,0.52,0.12,0.4,0.32,0.408,3.63636,0.192,0.272,2.4,0.152,0.224,2.11111,0.12,0.184,1.875,0.096,0.144,2,0.08,0.12,2
131.6349,69.40747,0.52,0.12,0.4,0.312,0.4,3.545455,0.2,0.28,2.5,0.152,0.224,2.111111,0.12,0.184,1.875,0.096,0.144,2,0.08,0.128,1.666667
132.5629,68.52828,0.512,0.12,0.4,0.328,0.424,3.416667,0.224,0.304,2.8,0.16,0.232,2.222222,0.12,0.184,1.875,0.096,0.152,1.714286,0.08,0.128,1.666667
131.3906,67.99099,0.504,0.112,0.392,0.304,0.392,3.454545,0.176,0.248,2.444444,0.144,0.216,2,0.12,0.176,2.142857,0.096,0.144,2,0.08,0.12,2
129.2903,65.25572,0.512,0.112,0.392,0.304,0.392,3.454545,0.168,0.24,2.333333,0.144,0.216,2,0.112,0.168,2,0.088,0.136,1.833333,0.08,0.12,2
79.1763,79.1274,0.512,0.12,0.392,0.312,0.4,3.54545,0.192,0.272,2.4,0.152,0.224,2.11111,0.12,0.176,2.14286,0.096,0.144,2,0.08,0.12,2
129.4857,68.28406,0.512,0.12,0.392,0.312,0.4,3.545455,0.192,0.264,2.666667,0.152,0.216,2.375,0.12,0.176,2.142857,0.096,0.144,2,0.08,0.12,2
131.6837,68.87019,0.504,0.12,0.392,0.304,0.392,3.454545,0.184,0.256,2.555556,0.152,0.224,2.111111,0.12,0.176,2.142857,0.088,0.136,1.833333,0.08,0.12,2
132.221,68.47943,0.496,0.112,0.376,0.304,0.384,3.8,0.16,0.232,2.222222,0.136,0.208,1.888889,0.104,0.168,1.625,0.08,0.128,1.666667,0.072,0.112,1.8
130.9999,68.28406,0.512,0.12,0.392,0.312,0.4,3.545455,0.176,0.248,2.444444,0.152,0.224,2.111111,0.12,0.176,2.142857,0.096,0.144,2,0.08,0.12,2
114.8813,59.44327,0.52,0.128,0.392,0.312,0.408,3.25,0.152,0.232,1.9,0.128,0.208,1.6,0.096,0.16,1.5,0.08,0.136,1.428571,0.064,0.112,1.333333
119.2285,59.54096,0.536,0.128,0.408,0.336,0.432,3.5,0.168,0.248,2.1,0.144,0.216,2,0.112,0.176,1.75,0.088,0.136,1.833333,0.072,0.12,1.5
117.5678,59.78518,0.528,0.128,0.4,0.312,0.408,3.25,0.184,0.264,2.3,0.144,0.224,1.8,0.112,0.176,1.75,0.088,0.144,1.571429,0.072,0.12,1.5
111.7553,57.48951,0.528,0.128,0.408,0.304,0.4,3.166667,0.2,0.28,2.5,0.16,0.24,2,0.112,0.176,1.75,0.08,0.128,1.666667,0.064,0.104,1.6
113.1718,59.10137,0.528,0.12,0.4,0.264,0.352,3,0.144,0.216,2,0.128,0.2,1.777778,0.104,0.16,1.857143,0.08,0.128,1.666667,0.072,0.112,1.8
66.0372,65.158,0.528,0.128,0.408,0.328,0.424,3.41667,0.136,0.216,1.7,0.12,0.192,1.66667,0.096,0.16,1.5,0.08,0.136,1.42857,0.064,0.112,1.33333
116.6397,59.6875,0.536,0.12,0.408,0.312,0.408,3.25,0.176,0.256,2.2,0.144,0.216,2,0.112,0.176,1.75,0.088,0.136,1.833333,0.072,0.112,1.8
64.6696,64.6207,0.528,0.128,0.4,0.32,0.416,3.33333,0.176,0.256,2.2,0.144,0.216,2,0.112,0.176,1.75,0.088,0.144,1.57143,0.072,0.12,1.5
120.1565,60.32247,0.528,0.128,0.408,0.304,0.4,3.166667,0.168,0.248,2.1,0.144,0.216,2,0.112,0.176,1.75,0.088,0.144,1.571429,0.072,0.12,1.5
116.7374,60.85975,0.528,0.12,0.4,0.288,0.376,3.272727,0.152,0.232,1.9,0.128,0.2,1.777778,0.104,0.168,1.625,0.08,0.128,1.666667,0.072,0.112,1.8
68.8213,68.7237,0.528,0.128,0.408,0.328,0.424,3.41667,0.184,0.264,2.3,0.144,0.216,2,0.112,0.176,1.75,0.088,0.144,1.57143,0.072,0.12,1.5
111.7553,57.53835,0.536,0.12,0.408,0.32,0.408,3.636364,0.176,0.256,2.2,0.144,0.216,2,0.112,0.168,2,0.088,0.136,1.833333,0.072,0.112,1.8
130.0718,71.50777,0.512,0.128,0.384,0.296,0.392,3.083333,0.2,0.288,2.272727,0.152,0.232,1.9,0.112,0.176,1.75,0.088,0.144,1.571429,0.072,0.12,1.5
130.8045,71.80083,0.512,0.128,0.384,0.296,0.392,3.083333,0.192,0.272,2.4,0.152,0.232,1.9,0.112,0.176,1.75,0.088,0.144,1.571429,0.072,0.12,1.5
128.8019,71.80083,0.504,0.128,0.384,0.288,0.384,3,0.184,0.264,2.3,0.144,0.224,1.8,0.104,0.168,1.625,0.08,0.136,1.428571,0.072,0.12,1.5
126.7993,72.04505,0.512,0.12,0.384,0.32,0.408,3.636364,0.216,0.296,2.7,0.16,0.232,2.222222,0.112,0.176,1.75,0.088,0.136,1.833333,0.072,0.12,1.5
128.7042,71.2147,0.52,0.128,0.392,0.296,0.392,3.083333,0.2,0.28,2.5,0.152,0.224,2.111111,0.112,0.176,1.75,0.088,0.144,1.571429,0.072,0.12,1.5
131.2441,72.48465,0.512,0.128,0.384,0.296,0.392,3.083333,0.2,0.288,2.272727,0.152,0.232,1.9,0.112,0.184,1.555556,0.088,0.144,1.571429,0.072,0.12,1.5
130.1695,71.94737,0.52,0.128,0.392,0.296,0.392,3.083333,0.184,0.264,2.3,0.144,0.216,2,0.112,0.176,1.75,0.088,0.144,1.571429,0.08,0.128,1.666667
128.5088,71.80083,0.504,0.128,0.384,0.288,0.384,3,0.184,0.272,2.090909,0.136,0.216,1.7,0.104,0.168,1.625,0.08,0.136,1.428571,0.072,0.12,1.5
128.3623,72.38696,0.528,0.12,0.392,0.304,0.392,3.454545,0.2,0.28,2.5,0.16,0.232,2.222222,0.112,0.168,2,0.088,0.136,1.833333,0.08,0.12,2
130.7557,71.80083,0.52,0.136,0.392,0.296,0.392,3.083333,0.2,0.288,2.272727,0.152,0.232,1.9,0.112,0.184,1.555556,0.088,0.144,1.571429,0.072,0.12,1.5
129.8276,71.50777,0.512,0.128,0.392,0.296,0.392,3.083333,0.2,0.288,2.272727,0.152,0.232,1.9,0.112,0.184,1.555556,0.088,0.144,1.571429,0.072,0.12,1.5
127.7273,71.16586,0.512,0.12,0.392,0.296,0.384,3.363636,0.184,0.264,2.3,0.144,0.216,2,0.112,0.176,1.75,0.088,0.136,1.833333,0.08,0.12,2
124.8455,71.16586,0.52,0.12,0.392,0.32,0.408,3.636364,0.216,0.296,2.7,0.152,0.224,2.111111,0.112,0.168,2,0.088,0.136,1.833333,0.072,0.112,1.8
126.5551,69.84707,0.52,0.128,0.392,0.296,0.392,3.083333,0.2,0.28,2.5,0.152,0.232,1.9,0.112,0.176,1.75,0.088,0.144,1.571429,0.072,0.12,1.5
139.9384,65.25572,0.352,0.136,0.208,0.12,0.216,1.25,0.016,0.096,0.2,0.016,0.096,0.2,0.016,0.08,0.25,0.016,0.072,0.2857143,0.016,0.064,0.3333333
79.8601,77.7598,0.264,0.144,0.136,0.072,0.168,0.75,0.008,0.088,0.1,0.008,0.08,0.111111,0.008,0.056,0.166667,0.008,0.016,1,0.008,0.016,1
137.3008,78.59016,0.56,0.128,0.424,0.312,0.408,3.25,0.272,0.36,3.090909,0.264,0.344,3.3,0.144,0.208,2.25,0.104,0.16,1.857143,0.08,0.128,1.666667
78.6879,76.0014,0.56,0.136,0.432,0.36,0.456,3.75,0.232,0.312,2.9,0.16,0.232,2.22222,0.12,0.184,1.875,0.096,0.144,2,0.08,0.128,1.66667
80.1532,78.4436,0.568,0.128,0.44,0.344,0.44,3.58333,0.256,0.336,3.2,0.176,0.248,2.44444,0.12,0.184,1.875,0.096,0.144,2,0.08,0.12,2
133.0025,80.00664,0.568,0.128,0.432,0.328,0.424,3.416667,0.2,0.28,2.5,0.152,0.224,2.111111,0.12,0.184,1.875,0.088,0.144,1.571429,0.08,0.12,2
80.1532,77.9063,0.552,0.136,0.424,0.32,0.416,3.33333,0.192,0.28,2.18182,0.144,0.224,1.8,0.112,0.176,1.75,0.088,0.144,1.57143,0.072,0.12,1.5
135.5424,63.83924,0.552,0.128,0.424,0.36,0.456,3.75,0.216,0.296,2.7,0.152,0.224,2.111111,0.112,0.168,2,0.088,0.136,1.833333,0.08,0.12,2
79.1763,77.4179,0.56,0.128,0.432,0.352,0.448,3.66667,0.208,0.288,2.6,0.16,0.232,2.22222,0.12,0.184,1.875,0.096,0.144,2,0.08,0.12,2
136.3727,64.57191,0.56,0.128,0.416,0.328,0.424,3.416667,0.2,0.28,2.5,0.144,0.216,2,0.112,0.176,1.75,0.088,0.136,1.833333,0.072,0.112,1.8
80.4951,78.5902,0.56,0.144,0.416,0.336,0.44,3.23077,0.168,0.264,1.75,0.128,0.216,1.45455,0.104,0.176,1.44444,0.08,0.144,1.25,0.072,0.128,1.28571
136.91,65.40226,0.552,0.144,0.416,0.328,0.432,3.153846,0.224,0.312,2.545455,0.144,0.224,1.8,0.112,0.184,1.555556,0.08,0.136,1.428571,0.072,0.128,1.285714
79.8601,78.0529,0.56,0.136,0.424,0.328,0.432,3.15385,0.24,0.328,2.72727,0.176,0.256,2.2,0.12,0.184,1.875,0.096,0.152,1.71429,0.08,0.128,1.66667
146.8254,86.99135,0.544,0.128,0.416,0.344,0.44,3.583333,0.232,0.32,2.636364,0.168,0.248,2.1,0.12,0.184,1.875,0.096,0.152,1.714286,0.08,0.128,1.666667
88.5055,70.0424,0.528,0.128,0.408,0.32,0.416,3.33333,0.184,0.272,2.09091,0.152,0.232,1.9,0.12,0.192,1.66667,0.096,0.152,1.71429,0.08,0.128,1.66667
146.4346,84.79337,0.536,0.12,0.416,0.32,0.416,3.333333,0.192,0.272,2.4,0.152,0.224,2.111111,0.12,0.184,1.875,0.096,0.152,1.714286,0.08,0.128,1.666667
86.8448,72.1916,0.552,0.12,0.424,0.336,0.432,3.5,0.216,0.296,2.7,0.168,0.24,2.33333,0.128,0.192,2,0.096,0.144,2,0.088,0.128,2.2
146.9719,85.67256,0.544,0.128,0.424,0.328,0.424,3.416667,0.232,0.312,2.9,0.168,0.248,2.1,0.128,0.192,2,0.096,0.152,1.714286,0.088,0.136,1.833333
87.3821,71.3124,0.544,0.12,0.416,0.328,0.424,3.41667,0.208,0.288,2.6,0.16,0.232,2.22222,0.12,0.184,1.875,0.096,0.144,2,0.088,0.128,2.2
148.2907,85.23296,0.536,0.128,0.416,0.328,0.424,3.416667,0.2,0.288,2.272727,0.152,0.232,1.9,0.112,0.184,1.555556,0.096,0.152,1.714286,0.08,0.128,1.666667
86.796,70.824,0.544,0.12,0.424,0.336,0.432,3.5,0.224,0.304,2.8,0.168,0.248,2.1,0.128,0.192,2,0.096,0.152,1.71429,0.088,0.136,1.83333
146.2881,84.35377,0.544,0.12,0.424,0.336,0.424,3.818182,0.224,0.304,2.8,0.168,0.24,2.333333,0.128,0.184,2.285714,0.104,0.152,2.166667,0.088,0.128,2.2
85.8679,69.9936,0.536,0.12,0.416,0.328,0.416,3.72727,0.216,0.296,2.7,0.16,0.232,2.22222,0.12,0.184,1.875,0.096,0.144,2,0.088,0.128,2.2
144.5785,82.74191,0.544,0.12,0.416,0.336,0.424,3.818182,0.2,0.272,2.777778,0.16,0.232,2.222222,0.12,0.176,2.142857,0.096,0.144,2,0.08,0.12,2
84.8422,70.189,0.536,0.128,0.416,0.328,0.424,3.41667,0.216,0.304,2.45455,0.16,0.24,2,0.12,0.192,1.66667,0.096,0.152,1.71429,0.08,0.128,1.66667
145.3112,84.01186,0.544,0.12,0.424,0.344,0.432,3.909091,0.232,0.312,2.9,0.168,0.24,2.333333,0.128,0.192,2,0.104,0.152,2.166667,0.088,0.128,2.2
85.7214,69.7494,0.536,0.12,0.416,0.336,0.432,3.5,0.2,0.28,2.5,0.152,0.224,2.11111,0.12,0.184,1.875,0.096,0.152,1.71429,0.08,0.128,1.66667
147.558,83.57226,0.552,0.128,0.432,0.336,0.432,3.5,0.24,0.328,2.727273,0.168,0.248,2.1,0.12,0.192,1.666667,0.096,0.152,1.714286,0.08,0.128,1.666667
85.4772,67.8445,0.56,0.12,0.432,0.336,0.424,3.81818,0.2,0.272,2.77778,0.16,0.232,2.22222,0.128,0.184,2.28571,0.096,0.144,2,0.08,0.12,2
147.0696,83.03498,0.56,0.128,0.44,0.344,0.44,3.583333,0.224,0.304,2.8,0.168,0.24,2.333333,0.12,0.184,1.875,0.096,0.152,1.714286,0.08,0.128,1.666667
85.0376,70.0913,0.568,0.12,0.44,0.352,0.44,4,0.24,0.32,3,0.168,0.24,2.33333,0.128,0.192,2,0.096,0.144,2,0.08,0.128,1.66667
147.7534,82.49769,0.568,0.128,0.448,0.36,0.456,3.75,0.248,0.328,3.1,0.168,0.24,2.333333,0.12,0.184,1.875,0.096,0.144,2,0.08,0.128,1.666667
84.9887,70.482,0.544,0.12,0.424,0.336,0.432,3.5,0.216,0.296,2.7,0.152,0.232,1.9,0.12,0.184,1.875,0.096,0.152,1.71429,0.08,0.128,1.66667
148.3884,84.0607,0.568,0.12,0.44,0.36,0.448,4.090909,0.232,0.304,3.222222,0.16,0.224,2.5,0.128,0.184,2.285714,0.096,0.144,2,0.08,0.12,2
85.8679,69.3098,0.56,0.128,0.432,0.352,0.448,3.66667,0.232,0.312,2.9,0.168,0.248,2.1,0.112,0.176,1.75,0.088,0.144,1.57143,0.072,0.12,1.5
147.9488,82.79076,0.56,0.128,0.44,0.376,0.472,3.916667,0.288,0.368,3.6,0.24,0.32,3,0.12,0.184,1.875,0.096,0.152,1.714286,0.08,0.128,1.666667
84.8422,67.4049,0.552,0.12,0.424,0.344,0.44,3.58333,0.216,0.296,2.7,0.152,0.224,2.11111,0.12,0.184,1.875,0.096,0.144,2,0.08,0.12,2
147.1673,82.35116,0.552,0.128,0.424,0.336,0.432,3.5,0.232,0.312,2.9,0.152,0.232,1.9,0.112,0.176,1.75,0.088,0.144,1.571429,0.08,0.128,1.666667
84.6957,70.482,0.528,0.128,0.44,0.352,0.448,3.66667,0.256,0.336,3.2,0.176,0.248,2.44444,0.128,0.192,2,0.096,0.144,2,0.08,0.12,2
149.0722,82.93729,0.592,0.088,0.472,0.376,0.44,5.875,0.24,0.288,5,0.192,0.232,4.8,0.144,0.176,4.5,0.12,0.144,5,0.104,0.12,6.5
144.9205,64.86497,0.552,0.12,0.416,0.28,0.368,3.181818,0.128,0.208,1.6,0.12,0.192,1.666667,0.096,0.152,1.714286,0.072,0.12,1.5,0.064,0.104,1.6
78.5902,76.2945,0.528,0.136,0.416,0.36,0.456,3.75,0.296,0.376,3.7,0.256,0.328,3.55556,0.136,0.2,2.125,0.088,0.144,1.57143,0.072,0.12,1.5
143.504,62.81352,0.544,0.112,0.432,0.344,0.424,4.3,0.256,0.328,3.555556,0.2,0.264,3.125,0.136,0.192,2.428571,0.104,0.144,2.6,0.088,0.128,2.2
80.3486,76.8806,0.552,0.112,0.424,0.328,0.408,4.1,0.232,0.304,3.22222,0.16,0.224,2.5,0.12,0.176,2.14286,0.096,0.136,2.4,0.08,0.12,2
80.5439,79.6159,0.528,0.128,0.416,0.328,0.424,3.41667,0.224,0.304,2.8,0.144,0.216,2,0.112,0.176,1.75,0.088,0.144,1.57143,0.072,0.12,1.5
143.9924,65.06035,0.544,0.112,0.424,0.312,0.392,3.9,0.16,0.224,2.5,0.136,0.192,2.428571,0.112,0.16,2.333333,0.088,0.128,2.2,0.072,0.104,2.25
81.7162,78.1994,0.528,0.12,0.424,0.36,0.448,4.09091,0.28,0.352,3.88889,0.24,0.312,3.33333,0.128,0.184,2.28571,0.096,0.144,2,0.08,0.12,2
144.8716,65.35341,0.552,0.104,0.432,0.344,0.424,4.3,0.24,0.304,3.75,0.176,0.24,2.75,0.128,0.176,2.666667,0.096,0.136,2.4,0.088,0.12,2.75
81.2766,78.9809,0.536,0.12,0.416,0.328,0.416,3.72727,0.224,0.304,2.8,0.144,0.216,2,0.112,0.176,1.75,0.088,0.136,1.83333,0.072,0.12,1.5
143.6994,64.71844,0.544,0.12,0.424,0.296,0.4,2.846154,0.128,0.216,1.454545,0.12,0.2,1.5,0.096,0.16,1.5,0.08,0.136,1.428571,0.064,0.112,1.333333
80.9835,77.1737,0.528,0.12,0.424,0.368,0.456,4.18182,0.288,0.36,4,0.248,0.32,3.44444,0.128,0.184,2.28571,0.096,0.144,2,0.08,0.12,2
141.0129,64.27884,0.552,0.104,0.44,0.352,0.432,4.4,0.256,0.32,4,0.168,0.232,2.625,0.128,0.176,2.666667,0.096,0.136,2.4,0.08,0.12,2
78.9321,75.2199,0.552,0.112,0.424,0.36,0.448,4.09091,0.16,0.232,2.22222,0.136,0.2,2.125,0.104,0.16,1.85714,0.088,0.136,1.83333,0.072,0.112,1.8
145.995,64.86497,0.56,0.12,0.432,0.28,0.36,3.5,0.136,0.208,1.888889,0.12,0.184,1.875,0.096,0.152,1.714286,0.08,0.12,2,0.064,0.104,1.6
78.9809,76.7341,0.528,0.128,0.424,0.368,0.464,3.83333,0.288,0.368,3.6,0.24,0.312,3.33333,0.12,0.184,1.875,0.096,0.144,2,0.08,0.128,1.66667
143.6017,61.93432,0.56,0.104,0.44,0.36,0.44,4.5,0.272,0.336,4.25,0.224,0.28,4,0.136,0.184,2.833333,0.104,0.144,2.6,0.088,0.12,2.75
81.5697,75.9037,0.552,0.12,0.432,0.328,0.416,3.72727,0.224,0.304,2.8,0.16,0.232,2.22222,0.112,0.176,1.75,0.088,0.136,1.83333,0.072,0.112,1.8
146.0439,65.54879,0.56,0.12,0.424,0.312,0.4,3.545455,0.184,0.256,2.555556,0.144,0.216,2,0.112,0.168,2,0.088,0.136,1.833333,0.072,0.112,1.8
81.9116,78.8832,0.512,0.136,0.416,0.32,0.416,3.33333,0.16,0.24,2,0.128,0.208,1.6,0.104,0.168,1.625,0.08,0.128,1.66667,0.072,0.12,1.5
146.7277,65.10919,0.576,0.096,0.464,0.392,0.448,7,0.312,0.36,6.5,0.264,0.304,6.6,0.16,0.192,5,0.128,0.152,5.333333,0.104,0.12,6.5
82.3023,79.1274,0.56,0.112,0.44,0.352,0.432,4.4,0.256,0.328,3.55556,0.184,0.248,2.875,0.128,0.184,2.28571,0.096,0.136,2.4,0.08,0.112,2.5
146.4346,65.15804,0.56,0.12,0.432,0.328,0.416,3.727273,0.208,0.28,2.888889,0.152,0.224,2.111111,0.112,0.168,2,0.088,0.136,1.833333,0.072,0.112,1.8
81.7162,78.3459,0.536,0.128,0.416,0.32,0.416,3.33333,0.144,0.224,1.8,0.12,0.2,1.5,0.096,0.16,1.5,0.072,0.128,1.28571,0.064,0.112,1.33333
143.7482,63.7904,0.544,0.12,0.432,0.368,0.448,4.6,0.296,0.368,4.111111,0.256,0.32,4,0.136,0.192,2.428571,0.104,0.144,2.6,0.088,0.128,2.2
80.2509,74.3407,0.552,0.112,0.432,0.336,0.416,4.2,0.248,0.32,3.44444,0.184,0.248,2.875,0.128,0.184,2.28571,0.096,0.136,2.4,0.08,0.112,2.5
138.3265,75.46414,0.504,0.128,0.392,0.16,0.256,1.666667,0.128,0.208,1.6,0.112,0.184,1.555556,0.096,0.16,1.5,0.08,0.128,1.666667,0.064,0.104,1.6
139.0592,135.5424,0.536,0.112,0.408,0.304,0.384,3.8,0.224,0.288,3.5,0.168,0.232,2.625,0.112,0.16,2.333333,0.088,0.128,2.2,0.08,0.112,2.5
137.3008,76.34333,0.52,0.128,0.392,0.28,0.376,2.916667,0.168,0.256,1.909091,0.136,0.216,1.7,0.104,0.168,1.625,0.088,0.144,1.571429,0.072,0.12,1.5
138.6684,134.9074,0.52,0.128,0.4,0.344,0.44,3.583333,0.184,0.272,2.090909,0.144,0.224,1.8,0.104,0.168,1.625,0.08,0.136,1.428571,0.072,0.12,1.5
141.0618,79.02976,0.496,0.12,0.392,0.272,0.368,2.833333,0.2,0.28,2.5,0.16,0.24,2,0.12,0.184,1.875,0.096,0.152,1.714286,0.08,0.128,1.666667
144.8716,139.0103,0.544,0.104,0.4,0.232,0.312,2.9,0.16,0.224,2.5,0.144,0.2,2.571429,0.12,0.168,2.5,0.096,0.136,2.4,0.08,0.112,2.5
139.6941,78.88323,0.512,0.144,0.176,0.136,0.24,1.307692,0.112,0.2,1.272727,0.104,0.184,1.3,0.08,0.152,1.111111,0.064,0.12,1.142857,0.056,0.112,1
143.6017,138.18,0.528,0.336,0.4,0.32,0.544,1.428571,0.232,0.32,2.636364,0.192,0.272,2.4,0.128,0.192,2,0.104,0.16,1.857143,0.088,0.136,1.833333
137.3008,74.73148,0.52,0.128,0.4,0.296,0.392,3.083333,0.2,0.28,2.5,0.16,0.24,2,0.112,0.176,1.75,0.088,0.144,1.571429,0.08,0.128,1.666667
140.2314,135.7378,0.52,0.12,0.4,0.328,0.424,3.416667,0.2,0.28,2.5,0.144,0.216,2,0.096,0.152,1.714286,0.08,0.128,1.666667,0.072,0.112,1.8
136.7635,76.1968,0.544,0.12,0.408,0.28,0.368,3.181818,0.208,0.28,2.888889,0.16,0.232,2.222222,0.12,0.176,2.142857,0.096,0.144,2,0.08,0.12,2
137.3496,134.1748,0.52,0.136,0.392,0.304,0.408,2.923077,0.208,0.296,2.363636,0.144,0.232,1.636364,0.104,0.176,1.444444,0.088,0.152,1.375,0.072,0.128,1.285714
139.5965,78.54132,0.552,0.128,0.392,0.288,0.384,3,0.168,0.256,1.909091,0.136,0.216,1.7,0.104,0.176,1.444444,0.088,0.144,1.571429,0.072,0.12,1.5
140.3291,137.3496,0.504,0.16,0.376,0.32,0.44,2.666667,0.248,0.344,2.583333,0.192,0.288,2,0.112,0.192,1.4,0.08,0.144,1.25,0.064,0.112,1.333333
82.0581,81.0324,0.512,0.32,0.376,0.328,0.504,1.86364,0.288,0.432,2,0.272,0.408,2,0.224,0.312,2.54545,0.184,0.24,3.28571,0.152,0.2,3.16667
133.4909,79.90895,0.208,0.136,0.096,0.08,0.2,0.6666667,0.072,0.184,0.6428571,0.064,0.168,0.6153846,0.056,0.12,0.875,0.048,0.096,1,0.04,0.08,1
139.743,131.293,0.352,0.112,0.232,0.2,0.288,2.272727,0.176,0.248,2.444444,0.16,0.224,2.5,0.144,0.2,2.571429,0.112,0.152,2.8,0.064,0.096,2
86.2587,83.4746,0.536,0.12,0.288,0.152,0.248,1.58333,0.112,0.192,1.4,0.104,0.184,1.3,0.08,0.144,1.25,0.064,0.12,1.14286,0.056,0.104,1.16667
83.6211,82.6931,0.504,0.248,0.384,0.312,0.424,2.78571,0.216,0.312,2.25,0.152,0.248,1.58333,0.096,0.176,1.2,0.072,0.136,1.125,0.064,0.12,1.14286
135.8843,80.54393,0.52,0.12,0.4,0.328,0.416,3.727273,0.264,0.344,3.3,0.208,0.28,2.888889,0.128,0.184,2.285714,0.104,0.152,2.166667,0.088,0.128,2.2
137.4473,127.9227,0.528,0.12,0.392,0.296,0.392,3.083333,0.2,0.28,2.5,0.152,0.224,2.111111,0.12,0.184,1.875,0.088,0.136,1.833333,0.08,0.12,2
94.1226,92.2177,0.52,0.136,0.392,0.304,0.4,3.16667,0.208,0.296,2.36364,0.152,0.232,1.9,0.112,0.176,1.75,0.088,0.144,1.57143,0.072,0.12,1.5
92.3154,84.1095,0.528,0.128,0.4,0.304,0.4,3.16667,0.224,0.312,2.54545,0.168,0.248,2.1,0.12,0.184,1.875,0.096,0.152,1.71429,0.08,0.128,1.66667
83.035,78.7855,0.504,0.128,0.376,0.312,0.416,3,0.28,0.368,3.18182,0.28,0.36,3.5,0.208,0.28,2.88889,0.112,0.168,2,0.088,0.136,1.83333
